isotype	gene	distance	rsq
Ig	1-5_01	39	1.0
Ig	1-5_01	54	1.0
Ig	1-5_01	76	1.0
Ig	1-5_01	100	1.0
Ig	1-5_01	105	1.0
Ig	1-5_01	125	1.0
Ig	1-5_01	158	1.0
Ig	1-5_01	231	0.11111111111111112
Ig	1-5_01	233	0.11111111111111112
Ig	1-5_01	237	0.25925925925925924
Ig	1-5_01	238	0.2592592592592592
Ig	1-5_01	256	0.4444444444444445
Ig	1-5_01	259	0.047619047619047616
Ig	1-5_01	260	0.0740740740740741
Ig	1-5_01	261	0.012345679012345678
Ig	1-5_01	262	0.012345679012345678
Ig	1-5_01	269	0.047619047619047616
Ig	1-5_01	270	0.012345679012345678
Ig	1-5_01	271	0.012345679012345678
Ig	1-5_01	276	0.012345679012345678
Ig	1-5_01	283	0.012345679012345678
Ig	1-5_01	15	1.0
Ig	1-5_01	37	1.0
Ig	1-5_01	61	1.0
Ig	1-5_01	66	1.0
Ig	1-5_01	86	1.0
Ig	1-5_01	119	1.0
Ig	1-5_01	192	0.11111111111111112
Ig	1-5_01	194	0.11111111111111112
Ig	1-5_01	198	0.25925925925925924
Ig	1-5_01	199	0.25925925925925924
Ig	1-5_01	217	0.44444444444444453
Ig	1-5_01	220	0.047619047619047616
Ig	1-5_01	221	0.0740740740740741
Ig	1-5_01	222	0.012345679012345678
Ig	1-5_01	223	0.012345679012345678
Ig	1-5_01	230	0.047619047619047616
Ig	1-5_01	231	0.012345679012345678
Ig	1-5_01	232	0.012345679012345678
Ig	1-5_01	237	0.012345679012345678
Ig	1-5_01	244	0.012345679012345678
Ig	1-5_01	22	1.0
Ig	1-5_01	46	1.0
Ig	1-5_01	51	1.0
Ig	1-5_01	71	1.0
Ig	1-5_01	104	1.0
Ig	1-5_01	177	0.11111111111111112
Ig	1-5_01	179	0.11111111111111112
Ig	1-5_01	183	0.25925925925925924
Ig	1-5_01	184	0.25925925925925924
Ig	1-5_01	202	0.44444444444444453
Ig	1-5_01	205	0.047619047619047616
Ig	1-5_01	206	0.07407407407407408
Ig	1-5_01	207	0.012345679012345678
Ig	1-5_01	208	0.012345679012345678
Ig	1-5_01	215	0.047619047619047616
Ig	1-5_01	216	0.012345679012345678
Ig	1-5_01	217	0.012345679012345678
Ig	1-5_01	222	0.012345679012345678
Ig	1-5_01	229	0.012345679012345678
Ig	1-5_01	24	1.0
Ig	1-5_01	29	1.0
Ig	1-5_01	49	1.0
Ig	1-5_01	82	1.0
Ig	1-5_01	155	0.11111111111111112
Ig	1-5_01	157	0.11111111111111112
Ig	1-5_01	161	0.25925925925925924
Ig	1-5_01	162	0.2592592592592592
Ig	1-5_01	180	0.4444444444444445
Ig	1-5_01	183	0.047619047619047616
Ig	1-5_01	184	0.0740740740740741
Ig	1-5_01	185	0.012345679012345678
Ig	1-5_01	186	0.01234567901234568
